name	taxid	lineage	N	host
Great Island virus	204269	dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	3	Aves; Homo sapiens; Ixodida
Guanarito mammarenavirus	45219	ssRNA viruses; ssRNA negative-strand viruses; Arenaviridae; Mammarenavirus	2	Homo sapiens; Zygodontomys brevicauda
Gyrovirus 4	1214955	ssDNA viruses; Circoviridae; Gyrovirus; unclassified Gyrovirus	1	Homo sapiens
Gyrovirus GyV3	1163715	ssDNA viruses; Circoviridae; Gyrovirus; unclassified Gyrovirus	1	Homo sapiens
Gyrovirus Tu243	1415627	ssDNA viruses; Circoviridae; Gyrovirus; unclassified Gyrovirus	1	Homo sapiens
Gyrovirus Tu789	1415628	ssDNA viruses; Circoviridae; Gyrovirus; unclassified Gyrovirus	1	Homo sapiens
HMO Astrovirus A	682382	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; Mamastrovirus; unclassified Mamastrovirus	1	Homo sapiens
Hantaan virus	11599	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Hantavirus	2	Apodemus agrarius; Homo sapiens
Hantavirus Z10	93830	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Hantavirus; unclassified Hantavirus	1	Homo sapiens
Heartland virus	1216928	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus; unclassified Phlebovirus	1	Homo sapiens
Hendra virus	63330	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Henipavirus	5	Equus caballus; Homo sapiens; Pteropus alecto; Pteropus poliocephalus; Pteropus scapulatus
Hepatitis A virus	12092	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Hepatovirus	4	Cercopithecus hamlyni; Homo sapiens; Macaca; Pan troglodytes
Hepatitis B virus	10407	Retro-transcribing viruses; Hepadnaviridae; Orthohepadnavirus	2	Homo sapiens; Pan troglodytes
Hepatitis C virus	11103	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Hepacivirus	1	Homo sapiens
Hepatitis C virus genotype 2	40271	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Hepacivirus; Hepatitis C virus	1	Homo sapiens
Hepatitis C virus genotype 3	356114	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Hepacivirus; Hepatitis C virus	1	Homo sapiens
Hepatitis C virus genotype 4	33745	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Hepacivirus; Hepatitis C virus	1	Homo sapiens
Hepatitis C virus genotype 5	33746	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Hepacivirus; Hepatitis C virus	1	Homo sapiens
Hepatitis C virus genotype 6	42182	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Hepacivirus; Hepatitis C virus	1	Homo sapiens
Hepatitis E virus	12461	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Hepeviridae; Hepevirus	1	Homo sapiens
Hepatitis delta virus	12475	Deltavirus	2	Hepatitis B virus; Homo sapiens
Human T-lymphotropic virus 1	11908	Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Deltaretrovirus; Primate T-lymphotropic virus 1	1	Homo sapiens
Human T-lymphotropic virus 2	11909	Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Deltaretrovirus; Primate T-lymphotropic virus 2	1	Homo sapiens
Human T-lymphotropic virus 4	318279	Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Deltaretrovirus; unclassified Deltaretrovirus	1	Homo sapiens
Human TMEV-like cardiovirus	511755	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Cardiovirus; Theilovirus	1	Homo sapiens
Human adenovirus 1	10533	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus; Human mastadenovirus C	1	Homo sapiens
Human adenovirus 2	10515	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus; Human mastadenovirus C	1	Homo sapiens
Human adenovirus 35	10522	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus; Human mastadenovirus B; Human adenovirus B2	1	Homo sapiens
Human adenovirus 5	28285	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus; Human mastadenovirus C	1	Homo sapiens
Human adenovirus 54	651580	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus; Human mastadenovirus D	1	Homo sapiens
Human adenovirus 7	10519	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus; Human mastadenovirus B; Human adenovirus B1	1	Homo sapiens
Human astrovirus BF34	1518575	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; Mamastrovirus; unclassified Mamastrovirus; Burkina Faso astrovirus	1	Homo sapiens
Human bocavirus	329641	ssDNA viruses; Parvoviridae; Parvovirinae; Bocaparvovirus; unclassified Bocaparvovirus	1	Homo sapiens
Human bocavirus 2	573977	ssDNA viruses; Parvoviridae; Parvovirinae; Bocaparvovirus; unclassified Bocaparvovirus	1	Homo sapiens
Human bocavirus 2c PK	1511882	ssDNA viruses; Parvoviridae; Parvovirinae; Bocaparvovirus; Primate bocaparvovirus 2	1	Homo sapiens
Human bocavirus 3	638313	ssDNA viruses; Parvoviridae; Parvovirinae; Bocaparvovirus; Primate bocaparvovirus 1	1	Homo sapiens
Human bocavirus 4 NI	1511883	ssDNA viruses; Parvoviridae; Parvovirinae; Bocaparvovirus; Primate bocaparvovirus 2	1	Homo sapiens
Human circovirus VS6600022	1525173	ssDNA viruses; Circoviridae; Circovirus; unclassified Circovirus	1	Homo sapiens
Human coronavirus 229E	11137	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Alphacoronavirus	1	Homo sapiens
Human coronavirus HKU1	290028	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Betacoronavirus	1	Homo sapiens
Human coronavirus NL63	277944	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Alphacoronavirus	1	Homo sapiens
Human coronavirus OC43	31631	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Betacoronavirus; Betacoronavirus 1	1	Homo sapiens
Human cosavirus	1233383	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Cosavirus; unclassified Cosavirus	1	Homo sapiens
Human cosavirus B	586420	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Cosavirus; unclassified Cosavirus	1	Homo sapiens
Human cosavirus D	586422	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Cosavirus; unclassified Cosavirus	1	Homo sapiens
Human cosavirus E	586423	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Cosavirus; unclassified Cosavirus	1	Homo sapiens
Human cyclovirus	1455626	ssDNA viruses; Circoviridae; unclassified Circoviridae; suggested genus Cyclovirus	1	Homo sapiens
Human cyclovirus VS5700009	1345637	ssDNA viruses; Circoviridae; unclassified Circoviridae; suggested genus Cyclovirus	1	Homo sapiens
Human endogenous retrovirus K113	166122	Retro-transcribing viruses; Retroviridae; unclassified Retroviridae; Human endogenous retroviruses; Human endogenous retrovirus K	1	Homo sapiens
